description, cardsToDraw
La normativa de la Secretaría de Transporte ahora prohíbe ________ en los aviones.,1
Es una pena que hoy en dia los jovenes se estan metiendo con ________.,1
"En 1000 años, cuando el papel moneda sea una memoria distante, ________ va a ser nuestra moneda.",1
La Asociacion de Futbol Argentino ha prohibido ________ por dar a los jugadores una ventaja injusta.,1
¿Cual es el placer culposo de Batman?,1
Lo nuevo de JK Rowling: Harry Potter y la Camara de ________.,1
¿Que me traje de vuelta de Paraguay?,1
¿________? Hay una app para eso.,1
________. ¿A que no podes comer solo una?,1
¿Cual es mi sustituto para no usar drogas?,1
"Cuando los EEUU y la URSS corrían la carrera espacial, el gobierno Argentino dedicó millones de pesos a la investigación de ________.",1
"En la nueva película original de Disney Channel, Hannah Montana se enfrenta a ________ por primera vez.",1
¿Cual es mi poder secreto?,1
¿Cual es la nueva dieta de moda?,1
¿Que comió Vin Diesel para la cena?,1
"Cuando el Faraón se mantuvo en su postura, Moisés llamó una Plaga de ________.",1
¿Que hago para mantener estable mi relación amorosa?,1
¿Qué es lo más crujiente?,1
En la cárcel de Devoto se dice que podes cambiar 200 cigarrillos por ________.,1
"Después del terremoto, Sean Penn llevó ________ a la gente de Haití.",1
"Ahora en vez de carbón, Papá Noel le da ________ a los chicos malos",1
La vida para los pueblos originarios cambió drásticamente cuando el hombre blanco les mostró ________.,1
"En los momentos finales de Michael Jackson, penso en ________.",1
A la gente blanca le gusta ________.,1
¿Por que me duele todo?,1
Una cena romántica a la luz de las velas estaría incompleta sin ________.,1
¿Que llevaría en un viaje al pasado para convencer a la gente de que son un poderoso hechicero?,1
La excursión del curso fue arruinada completamente por ________.,1
¿Que es el mejor amigo de una chica?,1
"Cuando sea presidente de la Argentina, voy a crear el Ministerio de ________.",1
¿Que me están escondiendo mis padres?,1
¿Que nunca falla para animar una fiesta?,1
¿Que mejora con la edad?,1
________: Rico hasta la última gota.,1
"Tengo 99 problemas, pero ________ no es uno.",1
________. It's a trap!,1
El nuevo Gran Hermano Famosos va a tener 8 famosos de segunda viviendo con ________.,1
"¿Que encontraría la abuela perturbador, pero extrañamente encantador?",1
¿Qué es lo más emo?,1
Durante el sexo me gusta pensar en ________.,1
¿Que termino mi ultima relacion?,1
¿Qué es ese ruido?,1
________. Así quiero morir.,1
¿Por que estoy pegajoso?,1
¿Cual es el próximo juguete de La Cajita Feliz?,1
¿De que hay un montón en el cielo?,1
"No sé con qué armas se luchará la tercera guerra mundial, pero la cuarta se luchará con ________.",1
¿Que siempre lograra llevarte a la cama?,1
"________: Probado en niños, aprobado por las madres.",1
¿Por qué no me puedo dormir por las noches?,1
¿Qué es ese olor?,1
¿ue ayuda a CFK a relajarse?,1
"Asi termina el mondo, no con un bang, sino con ________.",1
"Llega a la Calle Corrientes este verano, ________: El Musical.",1
Antropólogos han descubierto recientemente a una tribu primitiva que adora ________.,1
"Pero antes de matarlo, Sr. Bond, debo mostrarle ________.",1
Estudios muestran que las ratas de laboratorio recorren laberintos 50% más rápido después de ser expuestas a ________.,1
"A continuacion, en ESPN+: El torneo mundial de ________.",1
"Cuando sea billonario, erigiré una estatua de 15 metros de altura conmemorando ________.",1
"Con la intención de atraer más público, el Museo Nacional de Ciencias Naturales abrió una exhibición interactiva de ________.",1
"Yo me pregunto, ¿para qué sirve la guerra?",1
¿Que me da gases incontrolables?,1
¿A qué huele la gente mayor?,1
La medicina alternativa está usando ahora las propiedades curativas de ________.,1
¿Que prefiere Francisco de Narvaez?,1
"Durante el frecuentemente no tenido en cuenta Periodo Marrón de Picasso, él produjo cientos de pinturas de ________.",1
¿Que no queres encontrar en tu comida China?,1
Tomo para olvidar ________.,1
"________. Choca los 5, papá.",1
"Lo siento profesor, pero no pude completar mi tarea porque ________.",1
¿Cual es el próximo dúo de Superhéroe/Ayudante?,2
"Si, yo mate a ________. ¿Como, preguntas? ________.",2
Y el premio de la academia por ________ es para ________.,2
"Para mi proximo truco, sacare ________ de ________.",2
Paso 1: ________. Paso 2: ________. Paso 3: Ganancia.,2
"Cuando estaba volado con LSD, ________ se convirtio en ________.",2
________ es un camino de ida ________.,2
"En un mundo destrozado por ________, nuestro único consuelo es ________.",2
"En la nueva película de M. Night Shyamalan, Bruce Willis descubre que ________ era en realidad ________.",2
Nunca entendí ________ hasta que me encontré con ________.,2
El rumor dice que el plato preferido de Fernando De la Rúa es ________ relleno de ________.,2
E! True Hollywood Story presenta ________: la historia de ________.,2
________ + ________ = ________.,3
